Date (MM/DD/YY H:MM:SS AM/PM),Cell Line,ID,Name,Initial Volume (mL),Sample Volume (mL),Volume Before Sampling (mL),Volume After Sampling (mL),Feed Media Added (mL),base,osmo,vcd,dcd,tcd,IgG (mg/L),NH4+,Na+,Titer,PCV,pCO2,pHoff,pO2,air sparge,air sparge sp,air sparge total,co2 sparge,co2 sparge total,do2 controller output,do2 primary,do2 secondary,flowrate overlay,oxygen sparge,oxygen sparge total,ph controller output,ph primary,pressure exhaust valve,sparge total,temperature,temperature jacket,weight load cell,Titer_range,Titer_group,viab,Titer_category,Run Time (day),Run Time (hr),glc,lac,glc_after,lac_after,ccell,ivcc,IgG (mg),cglc,clac,mu,IgG (mg/10^9 cells/hr),qglc,qlac,mu_poly,qIgG_poly (mg/10^9 cells/hr),qglc_poly,qlac_poly,mu_s
2022-01-02 06:00:00,80L,294593,Genentech,80000,0,73765.53108,73765.53108,0,0,278.2015129,0.507254159,0.0308778318542292,0.538131990854229,0,2.732730504,91.56375202,1.151675694,0.132934364,25.45264741,7.211746048,126.310497,0.806333359,15.89859074,987.989588,0.013821356,0,17.9039876,27.81699505,28.14168438,5.00723362,0.03597749,5.369377284,48.62209953,7.22841073,29.94810816,0.824248682,36.97252945,37.45819843,0,1.15-1.20,Top 20%,94.26203378000004,1,1,30,37.0810251060192,10.6830060612788,37.0810251060192,10.6830060612788,15305.05949526683,13.38469601,0,-66.86704247883614,621.0973098144934,0.01028041899421164,0,0.4963047784884089,0.6969594528476561,0.008456657005300865,0,0.6175610232942326,0.6642125857309603,0.020598197160708598
2022-01-02 16:00:00,80L,294593,Genentech,80000,0,72919.91203,72919.91203,0,0,277.3834374,0.699123091,0.0299172515504829,0.729040342550483,0,3.274535917,89.11313282,1.151675694,0.191129714,20.40569322,7.169987579,122.4139513,0.953224893,18.80452776,1492.863107,0.000538497,0,20.9155048,29.84937931,30.52796097,5.006858191,0.039623906,28.56009455,50,7.220620112,30.61508513,0.983251327,36.91167774,37.49402889,0,1.15-1.20,Top 20%,95.89635171,1,1,40,34.4826196740602,14.3869397868561,34.4826196740602,14.3869397868561,28867.18135795475,19.41658226,0,153.9648742610654,882.1540778118576,0.03068427410103314,0,0.499631778279914,0.5906404253156697,0.01798981857908576,0,0.4605105867478232,0.5197129158412369,0.02707866267178166
2022-01-03 02:00:00,80L,294593,Genentech,80000,0,73215.5262,73215.5262,0,8.68666599999999,274.392869,0.848642465,0.0381821709376021,0.886824635937602,0,3.817367721,91.49941172,1.151675694,0.271530211,14.21239726,7.059342451,119.2518199,0.939578941,18.37625374,2008.690081,0.000451266,0,21.28831682,30.35682899,30.79351065,5.006490617,0.071053678,42.3615604,50,7.174686961,30.97065472,1.008180974,37.0018959,37.49642387,0,1.15-1.20,Top 20%,95.69450719000001,1,2,50,32.1578072559337,17.7818273645648,32.1578072559337,17.7818273645648,40020.99169473313,27.15541004,0,313.9836877761194,1134.965541467575,0.01972139640402853,0,0.2829342043791832,0.4470037538469683,0.03250530741489228,0,0.2061224053946076,0.4398823414056662,0.01875891751837755
2022-01-03 12:00:00,80L,294593,Genentech,80000,0,71789.09416,71789.09416,0,63.952518,280.0876827,1.395411806,0.0572491829058421,1.45266098890584,0,4.354280387,93.88569061,1.151675694,0.330926358,14.62999596,7.080718847,111.8543589,0.823733241,16.09713875,2536.199553,0.000467076,0,20.95208553,29.81231459,30.96627083,5.008103108,0.126297829,99.55991951,50.19880581,7.188201103,31.10540094,0.950347919,37.0018959,37.4766272,0,1.15-1.20,Top 20%,96.05901285000014,1,2,60,31.7739825318057,22.129309169627,31.7739825318057,22.129309169627,78062.5365970027,38.375681395,0,387.4090436434885,1421.702753847508,0.04687541512777187,0,0.09047592693802413,0.353322292704457,0.04227446051386143,0,-0.08885573054705886,0.2731533042775044,0.037668310272678585
2022-01-01 00:00:00,80L,294594,Genentech,80000,0,72426.09039,72426.09039,0,0,284.7835307,0.263517094,0.0134992401237579,0.277016334123758,0,1.379508821,89.90195899,1.151675694,0.047418497,35.65294683,7.242671245,151.5294306,0.058670886,0,182.6585693,0.018615498,12.29855537,0,87.50041229,86.05876724,5.014274998,0,0,48.11362846,7.2285112,51.53928116,0.036045116,36.97989273,37.53982529,0,1.15-1.20,Top 20%,95.12691547,1,0,0,39.013735462599,3.13414014209591,,,0,0,0,0,0,,,,,,0,-1.859720895275469,0.7348371098270339,0.037328258401581466
2022-01-01 10:00:00,80L,294594,Genentech,80000,0,78242.9126699999,78242.9126699999,0,20,278.2023116,0.305818453,0.011362574043032,0.317181027043032,0,1.865389752,90.84541702,1.151675694,0.069409504,32.25649844,7.236002436,141.6231213,0.668277678,13.12457605,147.6368428,0.030712085,0,13.20601862,27.58866381,27.35828669,5.014957485,0,0,46.98563896,7.229984818,50.95135765,0.645160533,36.99205158,37.4471027,0,1.15-1.20,Top 20%,96.41763754,1,0,10,39.6240680077266,5.08239928952042,39.6240680077266,5.08239928952042,4842.613641599342,2.846677735,0,-274.6901616929458,170.66820653765,0.02251664221566138,0,-1.277223530258655,0.793553900560132,-0.01045587345780959,0,-0.4084038223241552,0.7598091835943328,0.03620881874945094
2022-01-01 20:00:00,80L,294594,Genentech,80000,0,77842.71523,77842.71523,0,20,277.8838596,0.325753934,0.0236160056170489,0.349369939617048,0,2.351270683,91.78887506,1.151675694,0.101377389,28.86005005,7.22900424,131.7168119,0.735945172,14.62318218,527.7286853,0.020390488,0,14.63840006,30.32321362,29.64088633,5.013117461,0,5.11305541,47.86273758,7.229554004,51.61637558,0.714618202,37.02859791,37.3895343,0,1.15-1.20,Top 20%,93.24040138000024,1,0,20,39.4481434867559,7.60286399866785,39.4481434867559,7.602863998667849,6272.05785006009,6.004539670000001,0,-245.1382687259754,364.8340599543547,0.005800645172084474,0,0.1199207665820004,0.7879196778292435,0.02724881120096188,0,0.3439418321026311,0.8561050278903649,0.03228325239358416
2022-01-02 06:00:00,80L,294594,Genentech,80000,0,76275.05028,76275.05028,0,20,273.6733333,0.456872815,0.0102133985543514,0.467086213554351,0,2.566943731,88.860845,1.151675694,0.143116527,21.42878859,7.224476276,102.3584257,0.929837379,18.4786549,1202.965494,0.01063798,0,21.22747715,29.96623835,29.2542959,5.014630332,0.079642175,15.09101146,48.76542217,7.231194248,52.83558193,1.001011453,36.95830963,37.46094135,0,1.15-1.20,Top 20%,97.8133804300001,1,1,30,36.9241458180687,10.6808427397868,36.9241458180687,10.6808427397868,15762.48406633601,9.917673415000001,0,9.221252246501848,587.6882997836453,0.03152673942264973,0,0.8449700945587285,0.7403110659331076,0.04654906690693218,0,0.5735731650174837,0.7061680967814603,0.02605044450753209
2022-01-02 16:00:00,80L,294594,Genentech,80000,0,77300.28915,77300.28915,0,20,272.2698992,0.763635312,0.0289940070844365,0.792629319084436,0,3.123210537,89.92040087,1.151675694,0.207212579,17.40247659,7.201292152,57.75112366,0.894521973,17.71277891,1723.277747,0.001053287,0,21.8114658,30.10788944,29.67978153,5.015349445,0.114554151,48.52610188,50,7.206488819,53.82313911,1.006686555,36.99766655,37.42547661,0,1.15-1.20,Top 20%,96.34204711000005,1,1,40,35.9205010046848,14.0213937277975,35.9205010046848,14.0213937277975,39943.71755339634,16.02021405,0,48.94721699074329,856.8642722183773,0.05151671852158971,0,0.0846338688563103,0.5734638314507701,0.04185108524036611,0,0.4070305710890403,0.4553711734162966,0.019722542436148037
2022-01-03 02:00:00,80L,294594,Genentech,80000,0,76690.42419,76690.42419,0,99.034338,276.9216012,1.146143349,0.0557873980760705,1.20193074707607,0,3.679477343,90.97995673,1.151675694,0.268898017,13.37616459,7.16376626,13.14382165,0.756624033,15.10989957,2212.336846,0.00099645,0,20.88188889,28.2529567,27.46625582,5.014659643,0.165488612,134.5331464,50.06577972,7.184609008,54.34224628,0.909325503,37.03190231,37.39183105,0,1.15-1.20,Top 20%,95.35851810000004,1,2,50,31.663107123826,17.7817603796625,31.663107123826,17.7817603796625,68812.70674800308,25.569107355,0,397.3552145661167,1136.697229134887,0.03929693081412112,0,0.4742585507068506,0.3809131062168734,0.03213850917258265,0,0.2370697135915416,0.3245087632535226,0.017224955695587584
2022-01-03 12:00:00,80L,294594,Genentech,80000,0,74849.02191,74849.02191,0,199.583099,278.73429,1.425959862,0.0840749064596613,1.51003476845966,0,4.3500806,93.98100945,1.151675694,0.29650538,14.91826255,7.157475603,60.89045484,0.793713828,15.76786984,2684.288005,0.001016146,0,23.3851145,30.19556623,29.89194704,5.01357101,0.210202499,251.5101782,50.02569061,7.1804356,55.41129631,1.008905232,37.03190231,37.39736908,0,1.15-1.20,Top 20%,94.43225360000007,1,2,60,30.6367762217189,22.0091684835701,30.6367762217189,22.0091684835701,87646.18808426443,38.42962341,0,532.4795963945389,1420.371216821254,0.01935312030237749,0,0.1388526300910105,0.2915009026918036,0.02662493542245541,0,0.09764473857093421,0.276760711757024,0.024196355973308638
2022-01-01 00:00:00,80L,294595,Genentech,80000,0,59762.05399,59762.05399,0,0,290.8018165,0.182275632,0.0110688354801125,0.193344467480112,0,1.442476189,92.97368078,0.988606569,0.057056936,41.13975082,7.216511242,147.5224536,0,0,250.8327637,0.033201346,88.71739487,0,88.89582306,87.77769028,4.998916454,0,0,46.66395676,7.229381609,30.00044674,0,37.01638031,37.35676414,0,0.95-1.00,Middle 60%,94.27506997000027,0,0,0,39.7314410011323,4.6900251554174,,,0,0,0,0,0,,,,,,0,-4.79072354989575,1.618419648516844,-0.07369898267668831
