Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_index,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
CL G,295009,Top 20%,1,190,26,26.6535400930304,26.6535400930304,0.0,280.02553288745776,6.875389854410255,24.237444923993326,0.002176931023467,0.0596933949728759,-0.0107008904787657,88378.3035299999
CL G,295009,Top 20%,1,200,27,20.7979502098181,20.7979502098181,0.0,279.6746085368866,6.8251689587052855,23.09915413387721,0.000896849453258,0.0599248410818649,-0.01232335575203,88378.3035299999
CL G,295009,Top 20%,1,210,28,17.7430385209361,53.2716800063401,35.528641485403995,278.45936780188987,6.43029228256449,21.449675375925317,-0.0013839182764904,0.0600530656692496,-0.0140510667686839,88378.3035299999
CL G,295009,Top 20%,1,220,29,50.2167683174582,50.2167683174582,0.0,276.5418577703347,5.974607394340288,19.380945466183203,-0.0049741705115934,0.0568328370710418,-0.0150799847795814,88378.3035299999
CL G,295009,Top 20%,1,230,30,47.3286750538422,47.3286750538422,0.0,274.60689490666243,5.475169367701512,17.173772936750463,-0.0102115298033459,0.0485457367151529,-0.0146246681807733,88378.3035299999
CL G,295009,Top 20%,1,240,31,44.3002907757721,44.3002907757721,0.0,273.79729062455704,4.980620727342568,15.184910235921748,-0.017462442908523,0.0624754585061634,-0.021492212454988,88378.3035299999
CL G,295009,Top 20%,1,250,32,43.0401207176003,43.0401207176003,0.0,272.84468072897505,4.488939508044111,13.61250275707667,-0.0271221807893801,0.0729126465591952,-0.0289662407204757,88378.3035299999
2000L,295579,Top 20%,1,0,0,62.0926114034503,,0.0,296.4940867,0.455332134,3.78391714031971,0.1759365258450894,-0.0632077579500878,0.6920715004616248,546.719968
2000L,295579,Top 20%,1,10,1,63.0528987100068,63.0528987100068,0.0,293.3403417,0.656575589,6.8513661634103,0.0226327328540204,0.0910560481449679,0.5208970024045007,0.0
2000L,295579,Top 20%,1,20,2,60.9163413375074,60.9163413375074,0.0,295.2293292,0.909851097,10.690150366341,0.0052201919802987,0.1513783072730839,0.3931501481373734,0.0
2000L,295579,Top 20%,1,30,3,58.798844501432,58.798844501432,0.0,296.3296703,1.181051097,14.2616525088809,0.0326876458062175,0.1736242391908148,0.3066945251777455,0.0
2000L,295579,Top 20%,1,40,4,57.7197619840582,57.7197619840582,0.0,293.6071429,1.441060056,17.4554665297513,0.0503558121380214,0.1816491374082234,0.2467278793769965,39.562074
2000L,295579,Top 20%,1,50,5,54.438348092764,54.438348092764,0.0,292.2678571,1.711730447,21.39541651865,0.0398773840059066,0.1798509650659091,0.1972807418133269,2097.652805
2000L,295579,Top 20%,1,60,6,50.9186311085947,50.9186311085947,0.0,298.7146814,2.183153686,24.4221221247779,0.0192370296640205,0.1572616121637137,0.1413767566959992,8927.060118
CL G,295579,Top 20%,1,0,7,64.722070871911,64.722070871911,0.0,306.6494484934233,1.5400613768555844,13.406524382421852,0.0231763008750775,0.0678994233617688,0.2025667791616265,0.0
CL G,295579,Top 20%,1,10,8,61.999061535558,61.999061535558,0.0,304.0349345535288,1.621092877953731,15.566619409820216,0.0226952199283584,0.0810911297643672,0.1339620158738049,0.0
CL G,295579,Top 20%,1,20,9,59.9071387575212,59.9071387575212,0.0,302.538923054351,1.977666523424363,18.011292751284056,0.0219898409365001,0.0997154076506067,0.108027031722729,0.0
CL G,295579,Top 20%,1,30,10,58.232585536979,58.232585536979,0.0,302.1900740596097,2.676805544800161,20.47957016887531,0.0210562676500813,0.1135907511892039,0.0869516063185635,0.0
CL G,295579,Top 20%,1,40,11,55.7440160749572,55.7440160749572,0.0,302.8743096700945,3.532117295446911,22.730749866643905,0.0198966294820467,0.0915142285476096,0.0512968060014579,0.0
CL G,295579,Top 20%,1,50,12,50.9939452419014,50.9939452419014,0.0,304.50550603651897,4.42625879383494,24.482771603233203,0.0185190815077074,0.0779415883221481,0.0324069201659351,246.584337999999
CL G,295579,Top 20%,1,60,13,48.2937742789582,48.2937742789582,0.0,306.4060876635966,5.25758259110343,25.52544962405873,0.0169378044647405,0.0673740962254973,0.0206611716109614,9179.227219
CL G,295579,Top 20%,1,70,14,45.2764639073423,75.676300857639,30.39983695029671,308.3846617155887,5.970192998956176,25.86665493450209,0.0151730047531895,0.0743161687272096,0.0163587389221359,18331.92141
CL G,295579,Top 20%,1,80,15,72.6589904860232,72.6589904860232,0.0,309.7061931274142,6.410054262144034,25.43984083594399,0.0132509144354639,0.071139992950658,0.0105672804070683,25161.53614
CL G,295579,Top 20%,1,90,16,68.1648272053109,68.1648272053109,0.0,310.6419641575162,6.927438502570869,24.54709958091146,0.0112037912363397,0.0485106059092723,0.0042256320264867,28642.18357
CL G,295579,Top 20%,1,100,17,65.8285156197961,65.8285156197961,0.0,309.9832771299889,7.288108760923219,23.50894578630083,0.0090699185429589,0.0461495577787403,0.0015028975048185,30971.82672
CL G,295579,Top 20%,1,110,18,61.7308470991807,61.7308470991807,0.0,308.3563196333354,7.47721752901381,22.664969044977404,0.0068936054048298,0.0622462699790712,-0.0010855535891813,32012.8251599999
CL G,295579,Top 20%,1,120,19,58.8457121605719,58.8457121605719,0.0,304.5876963909814,7.558992827898353,22.197757247064917,0.0047251865338269,0.0704944855615775,-0.0045645364514305,34250.85587
CL G,295579,Top 20%,1,130,20,55.3433508792379,55.3433508792379,0.0,296.8355618073832,7.43269373724847,22.084481961738422,0.0026210223041909,0.0623471999718492,-0.0069165053640988,38130.35377
CL G,295579,Top 20%,1,140,21,50.4640793923044,50.4640793923044,0.0,289.07254622271944,7.595981813182392,22.36853173649054,0.0006434987525288,0.0571692257160751,-0.0090025413296428,45887.85099
CL G,295579,Top 20%,1,150,22,42.186256549879,42.186256549879,0.0,281.50477197405843,7.65376756747277,22.596593750847973,-0.0011389724221863,0.0521080153874012,-0.0107293326259384,54919.8787699999
CL G,295579,Top 20%,1,160,23,33.7645644719021,33.7645644719021,0.0,276.3499466397445,7.535634175542318,22.674016453766104,-0.0026519538586152,0.0481049528632203,-0.0124126086532795,63583.66177
CL G,295579,Top 20%,1,170,24,35.9265217866737,35.9265217866737,0.0,272.2212692037173,7.465630413577399,22.342492816206125,-0.0038149825330522,0.0439414106230481,-0.0138917289138804,67566.18134
CL G,295579,Top 20%,1,180,25,31.8185249950043,31.8185249950043,0.0,267.73321388802333,7.534248892130801,21.48732356843416,-0.0045415697594254,0.056251952803796,-0.0215679922326969,67953.4085899999
CL G,295579,Top 20%,1,190,26,28.3432582761606,28.3432582761606,0.0,264.07667655157906,7.411716265001544,19.943812580711487,-0.004739201189297,0.043336527201926,-0.0201353638075952,67957.1991
CL G,295579,Top 20%,1,200,27,25.3861459623881,25.3861459623881,0.0,259.4850876548866,7.067603561809506,17.792537323142945,-0.0043093368118627,0.0399417220175798,-0.0226668375782444,67957.1991
CL G,295579,Top 20%,1,210,28,22.605632429672,22.605632429672,0.0,255.98370757416853,6.831049822560373,15.273188470015317,-0.003147410953952,0.0349604683438919,-0.0246707295371548,67957.1991
CL G,295579,Top 20%,1,220,29,20.7645868192011,20.7645868192011,0.0,253.0339444532813,6.77813062422475,12.616688092540633,-0.0011428322800283,0.0279799799823106,-0.0253516704747928,67957.1991
