Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_step,input_step_2000,input_step_400_2000,input_step_80_400_2000,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
CL G,295008,Middle 60%,0,0,0,7,14,21,62.8299366104931,62.8299366104931,0.0,301.0285869653208,1.1196298143689312,9.053800309900756,0.0609158695323184,0.1279121373552021,0.3617301301636133,0.0
CL G,295008,Middle 60%,0,10,1,8,15,22,62.1268475654432,62.1268475654432,0.0,297.6622065874792,1.4961628821917194,11.415764993560014,0.0468628440279043,0.0809127382566632,0.1382331685545179,0.0
CL G,295008,Middle 60%,0,20,2,9,16,23,59.3756056417771,59.3756056417771,0.0,295.581110535499,1.6622097416148716,14.103841115974388,0.0358024852202962,0.1161397198123159,0.1368466722628518,0.0
CL G,295008,Middle 60%,0,30,3,10,17,24,56.3431318412931,56.3431318412931,0.0,295.1691484855256,1.938017557539884,16.836006908988008,0.0272691901487858,0.1181127869560873,0.1028510607121639,0.0
CL G,295008,Middle 60%,0,40,4,11,18,25,53.5982740014209,53.5982740014209,0.0,296.9034165493488,2.4398208382785374,19.602439156950663,0.0208345617041025,0.1029683610308476,0.0691240417177115,0.0
CL G,295008,Middle 60%,0,50,5,12,19,26,52.2581909178711,52.2581909178711,0.0,300.4128449190553,3.1179577071563416,21.89701911181132,0.0161074086284132,0.10649542129726,0.0567124356792854,32.615273
CL G,295008,Middle 60%,0,60,6,13,20,27,48.420128122294,48.420128122294,0.0,304.4063319899368,3.842561798288092,23.423146690207133,0.0127337455153223,0.099684286883992,0.0429991665284552,6174.642701
CL G,295008,Middle 60%,0,70,7,14,21,28,44.592901432493,77.4997335727246,32.90683214023159,308.50627573428545,4.408116699285485,24.125999862217075,0.0103967928098717,0.094116093175446,0.0334279146982769,18395.68718
CL G,295008,Middle 60%,0,80,8,15,22,29,73.6725068829236,73.6725068829236,0.0,311.92019921064144,5.115955393385272,24.14931738912268,0.008816976808541,0.0824654561725159,0.0244566657353908,31344.2372899999
CL G,295008,Middle 60%,0,90,9,16,23,30,71.7650590599258,71.7650590599258,0.0,313.5963632383615,5.824941184466237,23.73403882198781,0.0077519296592473,0.0752827382679191,0.0188860080280174,39553.06503
CL G,295008,Middle 60%,0,100,10,17,24,31,67.4386987943782,67.4386987943782,0.0,312.59066291482,6.392482276069514,23.162391723319253,0.006996489361345,0.0766188492531911,0.016474835362191,44662.04311
CL G,295008,Middle 60%,0,110,11,18,25,32,63.3977571660116,63.3977571660116,0.0,312.0884035616803,6.680998150095083,22.84195094997016,0.0063826997656265,0.05083933126342,0.0095054433758957,50146.27457
CL G,295008,Middle 60%,0,120,12,19,26,33,59.2922482182108,59.2922482182108,0.0,308.43247513159247,6.855817483013679,23.01329725569836,0.0057798105743213,0.0651792775189635,0.0107728321725991,57365.34496
CL G,295008,Middle 60%,0,130,13,20,27,34,55.9790983369968,55.9790983369968,0.0,301.78227131622054,6.8378730548172095,23.81981405864617,0.0050942773410968,0.0767998462021118,0.0114396072926217,67598.74397
CL G,295008,Middle 60%,0,140,14,21,28,35,50.9037784697706,50.9037784697706,0.0,294.02197486916043,6.543072902298533,25.15513407367012,0.0042697614710579,0.0773327568376587,0.0106174260153755,80848.81767
CL G,295008,Middle 60%,0,150,15,22,29,36,44.9455275816514,44.9455275816514,0.0,287.31066686552504,6.383380816733458,26.728644231256187,0.0032871302207468,0.0706091025362053,0.0091675414937408,95266.8206799999
CL G,295008,Middle 60%,0,160,16,23,30,37,40.126646856058,40.126646856058,0.0,285.02266625002403,6.212535400461788,28.694485934827213,0.0021644566981434,0.0660216877411646,0.0083371638416803,111679.8364
CL G,295008,Middle 60%,0,170,17,24,31,38,33.5595696618486,33.5595696618486,0.0,283.7292759173976,6.116204380996096,30.831884898410685,0.0009570198626652,0.0973913698897893,0.0123182331516465,129821.3658
CL G,295008,Middle 60%,0,180,18,25,32,39,27.6493323453007,27.6493323453007,0.0,282.3579511837059,6.116104767332981,32.81853576343389,-0.0002426954748326,0.0874893767920666,0.0114113685127615,144677.7431
CL G,295008,Middle 60%,0,190,19,26,33,40,22.5138037756166,22.5138037756166,0.0,282.73818037391084,6.236085478641244,34.267954978584235,-0.0013049986520578,0.074209297855971,0.0102593957660282,152949.5567
CL G,295008,Middle 60%,0,200,20,27,34,41,18.4700045238571,18.4700045238571,0.0,283.6638858992247,6.56796072655517,35.03662478263615,-0.0020629931552802,0.0719088738007194,0.0108007077692883,155028.479299999
CL G,295008,Middle 60%,0,210,21,28,35,42,14.6427778340561,44.8137882198082,30.171010385752105,284.69611997560094,6.626597514129696,35.108715725761435,-0.0023125766193319,0.0720338305200607,0.0120090518922208,164597.5697
CL G,295008,Middle 60%,0,220,22,29,36,43,40.9865615300073,40.9865615300073,0.0,285.65306748729915,6.709973529718846,34.564749827203975,-0.0018124408276079,0.0612469071643061,0.0115408738374101,172548.8435
CL G,295008,Middle 60%,0,230,23,30,37,44,37.9779070749794,37.9779070749794,0.0,286.7920971310198,6.853428330981454,33.85226958300171,-0.0002840717120655,0.0561089753351055,0.0121347177538264,172870.7101
CL G,295008,Middle 60%,0,240,24,31,38,45,34.7470404149736,34.7470404149736,0.0,287.7488677989354,7.009976985985096,32.94314334034229,0.0025882506467757,0.0705450919606587,0.0177443437940204,172892.3035
